dimension;db_tablename;db_fact_table_colname;db_pkattribute_colname;db_codesource_colname;db_tablesource_colname;csv_formatted_dimension_colname;codelist_table;sql_select_csv_wms_wfs_from_view;sql_select_csv_wms_wfs_from_fact_table;sql_select_netcdf_from_view;sql_select_netcdf_from_fact_table;sql_select_labels_csv_wms_wfs_from_fact_table;sql_select_labels_csv_wms_wfs_from_view;sql_join_csv_wms_wfs_from_fact_table
source_authority;source.source;id_source;id_source;codesource_source;tablesource_source;source_authority;TRUE;source_authority,;source_labels.codesource_source AS source_authority,;source_authority,;source_labels.codesource_source AS source_authority,;source_labels.source_label AS source_authority_label,;source_authority_label,;LEFT OUTER JOIN source.source_labels USING (id_source)
flag;flag.flag;id_flag;id_flag;codesource_flag;tablesource_flag;flag;TRUE;flag,;flag_labels.codesource_flag AS flag,;flag,;flag_labels.codesource_flag AS flag,;flag_labels.source_label AS flag_label,;flag_label,;LEFT OUTER JOIN flag.flag_labels USING (id_flag)
fishing_fleet;fishing_fleet.fishing_fleet;id_fishing_fleet;id_fishing_fleet;codesource_fishing_fleet;tablesource_fishing_fleet;fishing_fleet;TRUE;fishing_fleet,;fishing_fleet_labels.codesource_fishing_fleet AS fishing_fleet,;fishing_fleet,;fishing_fleet_labels.codesource_fishing_fleet AS fishing_fleet,;fishing_fleet_labels.source_label AS fishing_fleet_label,;fishing_fleet_label,;LEFT OUTER JOIN fishing_fleet.fishing_fleet_labels USING (id_fishing_fleet)
gear_type;gear_type.gear_type;id_gear_type;id_gear_type;codesource_gear_type;tablesource_gear_type;gear_type;TRUE;gear_type,;gear_type_labels.codesource_gear_type AS gear_type,;gear_type,;gear_type_labels.codesource_gear_type AS gear_type,;gear_type_labels.source_label AS gear_type_label,;gear_type_label,;"LEFT OUTER JOIN gear_type.gear_type_labels USING (id_gear_type)
"
species;species.species;id_species;id_species;codesource_species;tablesource_species;species;TRUE;species,;species_labels.codesource_species AS species,;species,;"species_labels.codesource_species AS species,
";species_labels.source_label AS species_label,;species_label,;"LEFT OUTER JOIN species.species_labels USING (id_species)
"
fishing_mode;fishing_mode.fishing_mode;id_fishing_mode;id_fishing_mode;codesource_fishing_mode;tablesource_fishing_mode;fishing_mode;TRUE;fishing_mode,;fishing_mode_labels.codesource_fishing_mode AS fishing_mode,;fishing_mode,;fishing_mode_labels.codesource_fishing_mode AS fishing_mode,;fishing_mode_labels.source_label AS fishing_mode_label,;fishing_mode_label,;"LEFT OUTER JOIN fishing_mode.fishing_mode_labels USING (id_fishing_mode)
"
time;time.time;id_time;id_time;;;time_start,time_end;FALSE;time_start,time_end,month,quarter,year,;"time.time_start,
time.time_end,
time.month,
time.quarter,
time.year,
Time.time_period,";time_start,time_end,;"time.time_start,
time.time_end,";;;LEFT OUTER JOIN time.time USING (id_time)
area;area.area;id_area;id_area;codesource_area;tablesource_area;geographic_identifier;TRUE;geographic_identifier,;"tab.id_area,
Area.codesource_area as geographic_identifier,";;;area_labels.source_label as geographic_identifier_label,;geographic_identifier_label,;"LEFT OUTER JOIN area.area USING (id_area) 
LEFT JOIN area.area_labels USING (id_area)"
measurement_type;measurement_type.measurement_type;id_measurement_type;id_measurement_type;codesource_measurement_type;tablesource_measurement_type;measurement_type;TRUE;measurement_type,;measurement_type_labels.codesource_measurement_type AS measurement_type,;measurement_type,;"measurement_type_labels.codesource_measurement_type AS measurement_type,
";measurement_type_labels.source_label AS measurement_type_label,;measurement_type_label,;LEFT OUTER JOIN measurement_type.measurement_type_labels USING (id_measurement_type)
measurement_measurement_unit;measurement_unit.measurement_unit;id_measurement_unit;id_measurement_unit;codesource_measurement_unit;tablesource_measurement_unit;measurement_unit;TRUE;measurement_unit,;measurement_unit_labels.codesource_measurement_unit AS measurement_unit,;measurement_unit,;"catchmeasurement_unit_labels.codesource_catchmeasurement_unit as measurement_unit,
";measurement_unit_labels.source_label as measurement_unit_label,;measurement_unit_label,;LEFT OUTER JOIN measurement_unit.measurement_unit_labels USING (id_measurement_unit)
sex;sex.sex;id_sex;id_sex;codesource_sex;tablesource_sex;sex;TRUE;sex,;"sex_labels.codesource_sex as sex,
";sex,;"sex_labels.codesource_sex as sex,
";sex_labels.source_label as sex_label,;sex_label,;LEFT OUTER JOIN sex.sex_labels USING (id_sex)
size_class;size_class.size_class;id_size_class;id_size_class;;;size_min,size_step;FALSE;size_min,size_step,;"size_class.size_min,
size_class.size_step,";size_min,size_step,;"size_class.size_min,
size_class.size_step,";;;LEFT OUTER JOIN size_class.size_class USING (id_size_class)
fadclass;fadclass.fadclass;id_fadclass;id_fadclass;codesource_fadclass;tablesource_fadclass;fadclass;TRUE;fadclass,;fadclass_labels.codesource_fadclass as fadclass,;fadclass,;fadclass_labels.codesource_fadclass AS fadclass,;fadclass_labels.source_label AS fadclass_label,;fadclass_label,;LEFT OUTER JOIN fadclass.fadclass_labels USING (id_fadclass)
program;program.program;id_program;id_program;codesource_program;tablesource_program;program;TRUE;program,;program_labels.codesource_program AS program,;program,;program_labels.codesource_program AS program,;program_labels.source_label AS program_label,;program_label,;LEFT OUTER JOIN program.program_labels USING (id_program)
ocean;ocean.ocean;id_ocean;id_ocean;codesource_ocean;tablesource_ocean;ocean;TRUE;ocean,;ocean_labels.codesource_ocean AS ocean,;ocean,;ocean_labels.codesource_ocean AS ocean,;ocean_labels.source_label AS ocean_label,;ocean_label,;LEFT OUTER JOIN ocean.ocean_labels USING (id_ocean)
vessel;vessel.vessel;id_vessel;id_vessel;codesource_vessel;tablesource_vessel;vessel;TRUE;vessel,;vessel_labels.codesource_vessel AS vessel,;vessel,;vessel_labels.codesource_vessel AS vessel,;vessel_labels.source_label AS vessel_label,;vessel_label,;LEFT OUTER JOIN vessel.vessel_labels USING (id_vessel)
settype;settype.settype;id_settype;id_settype;codesource_settype;tablesource_settype;settype;TRUE;settype,;settype_labels.codesource_settype AS settype,;settype,;settype_labels.codesource_settype AS settype,;settype_labels.source_label AS settype_label,;settype_label,;LEFT OUTER JOIN settype.settype_labels USING (id_settype)
sizetype;sizetype.sizetype;id_sizetype;id_sizetype;codesource_sizetype;tablesource_sizetype;sizetype;TRUE;sizetype,;sizetype_labels.codesource_sizetype AS sizetype,;sizetype,;sizetype_labels.codesource_sizetype AS sizetype,;sizetype_labels.source_label AS sizetype_label,;sizetype_label,;LEFT OUTER JOIN sizetype.sizetype_labels USING (id_sizetype)
